Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
مهارات التفكير التأملي | Reflective Thinking Skills,4.9,Beginner level,Flexible schedule,Not specified,"التفكير التأملي, تطوير الذات",1,971
Managing Conflict ,0,Beginner level,Flexible schedule,Not specified,"Identifying conflict mindsets, Handling conflict on the phone, Handling conflict in person, Handling conflict over email",7,0
A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,4.7,Beginner level,Flexible schedule,learn about the challenges related to metals production and usagelearn about the potential solutions that exist to act on these challenges,Not specified,40,91
Leadership and Disruption,4.8,Beginner level,Flexible schedule,"Use LAB (Learn, Apply and Benefit) as a model for your development and storytelling as a powerful tool to engage and motivate.Learn new competencies for the Great Reset scenario while determining the leadership brand, and know how you can apply “delegation”.Apply a practical model to enhance your leadership style and generate business impacts: Autonomy, Reality, Task, defined by the A.R.T. of leadership.","Delegation, Feedback, Leadership of remote teams, Disruption, Storytelling for leaders",15,147
حل المشكلات بطريقة إبداعية | Creative Problem Solving,4.8,Beginner level,Flexible schedule,Not specified,"مهارات حل المشكلات, مهارات الإبداع",1,108
The Importance and Power of Music in our Society,4.6,Beginner level,Flexible schedule,Not specified,Not specified,19,67
الطاقة الإيجابية | Positive Energy,5,Beginner level,Flexible schedule,Not specified,"مبادئ تنمية بشرية, مبادئ التعامل مع الأمور النفسية",1,43
PlanU: escoge la mejor carrera y universidad para ti,4.8,Beginner level,Flexible schedule,"A saber cómo tomar decisiones informadas, que surjan de ti mismo y de lo que es realmente importante para ti. A desarrolla un perfil de tí mismo (fortalezas, retos, intereses, posibilidades, etc.) e identificar las áreas que más se relacionan contigo.A analizar e investigar las carreras que elijas y conocerlas a profundidad.  También, las universidades donde se encuentran y cómo evaluarlas.A diseñar planes de acción que estén en sintonía contigo. A ponerlos en marcha y ajustarlos según los resultados que obtengas.  ","Toma de decisiones, Autoreflexión, Análisis, Planificación, Ingadación",24,714
التأثير على الأشخاص,4.7,Not specified,Flexible schedule,Not specified,"Cost, Leadership, strategy, Influencing",11,44
Leadership Style and Building a High-Performance Team,0,Beginner level,Flexible schedule,"By successfully completing this course, you will be able to describe your personal leadership style.You will also be able to define value creation and explain how building a high-performance team is an essential aspect of leadership.","Value of Executive Presence, Your Personality Type and How You Impact Others, How to Build a Highly Performing Team, Your Top 5 Strengths",25,0
Cómo inspirar y a motivar personas,4.8,Not specified,Flexible schedule,Not specified,"Smart Criteria, Communication, Leadership, Checklists",15,161
مهارة مخاطبة الجمهور | Public Speaking Skills,4.8,Beginner level,Flexible schedule,Not specified,"مهارات مخاطبة الجمهور, مهارات التواصل",1,131
Public Speaking and Presentations ,0,Beginner level,Flexible schedule,Not specified,"Responding with an elevator pitch, Delivering a persuasive speech, Preparing an informative lecture, Engaging others with storytelling",7,0
Archaeology and Heritage of Africa,4.9,Beginner level,Flexible schedule,Not specified,"Africa, Culture, archaeology, heritage management, archaeological techniques",17,12
The Neuroscience of Leading High-Performance Teams,0,Beginner level,Flexible schedule,"Describe what happens in the brain during storytelling and improvisation.Describe how stress, anxiety, and fear impact psychological safety.Describe the neuroscience of influence and collaboration.","goal setting, Coaching, Storytelling, Influence, Collaboration",25,0
Problem-Solving,0,Not specified,Flexible schedule,Not specified,"Collecting data for new solutions, Identifying root causes",4,0
Pensamiento Sistémico en el Siglo XXI,0,Beginner level,Flexible schedule,"Comprender el origen, las bases y los conceptos clave del pensamiento sistémico. Emplear metodologías y herramientas básicas del pensamiento sistémico en el diseño de soluciones a diferentes problemáticas del mundo real.Descubrir las aplicaciones del pensamiento sistémico tanto en el ámbito laboral como personal.Reflexionar sobre las relaciones existentes entre las entidades de un sistema desde su propia experiencia.","Resolución de problemas, pensamiento sistémico, Gestión en negocios, Pensamiento crítico, creatividad",15,0
مقدمة عن مخاطبة الجمهور - باللغة العربية,4.8,Beginner level,Flexible schedule,Not specified,"Human Learning, Organizing (Management), Speech, Leadership And Management",12,298
Purpose at Work: A Course for Employees and Leaders,4.8,Beginner level,Flexible schedule,The history of purpose in work Purpose in work and ways of finding greater fulfillment of purpose through workApproaches organizational leaders can take to create a more purposeful organization,"Leadership, Purpose",6,15
Uncertainty and Research,4.9,Beginner level,Flexible schedule,Not specified,"Research Methods, Probability",14,12
Speaking and Presenting: Tact,4.5,Beginner level,Flexible schedule,"How to cultivate a ""generosity of spirit"" when speaking with someone one-on-oneHow to fire someone respectfullyHow to reframe your next presentation or performance as a ""contribution""How to apologize in a sincere, meaningful way","empathy, Respect, Good Judgment, Verbal Dexterity",9,29
إتقان فن الإنجاز | Mastering The Art of Achieving,4.6,Beginner level,Flexible schedule,Not specified,"مبادئ تنمية بشرية, فن الإنجاز",1,58
أخلاقيات وآداب السلوك في الأعمال,4.8,Beginner level,Flexible schedule,Not specified,Not specified,1,28
Managing Debt,4.8,Beginner level,Flexible schedule,Not specified,"Credit Card Debt, Mortgage, Personal Finance, Refinancing, Money Management",7,11
The Neuroscience of Leading Transformational Organizations,0,Beginner level,Flexible schedule,Describe how neuroscience impacts collaborative creativity.Understand how to build mentally tough organizations.Explore the world of neuroscience utilized in business applications.,"Change Management, Business, Creativity, diversity, Innovation",24,0
Introducción al HTML5,4.4,Not specified,Flexible schedule,Not specified,"Web Design, HTML, C Dynamic Memory Allocation, Web Page",12,18
Decision-Making,0,Beginner level,Flexible schedule,Not specified,"Applying an ethical framework, Performing a risk assessment, Selecting the best alternative",6,0
Social Pedagogy across Europe ,4.6,Intermediate level,Flexible schedule,Not specified,Not specified,19,59
أساسيات برنامج مايكروسوفت وورد | Essentials of MS Word,4.8,Beginner level,Flexible schedule,Not specified,"مايكروسوفت وورد, أساسيات البرنامج",1,29
كيف تفوز في المحادثات الصعبة| How to Win Tough Conversations,4.9,Beginner level,Flexible schedule,Not specified,"الفوز في المحادثات الصعبة, فن المحادثات, مبادئ تنمية بشرية",2,118
